Geo,Year,HighCarSvcCost.2010,LowCarSvcCost.2010,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
ZNHPO1,2019,1,3,3,0.75,1
ZNHPO2,2019,1,3,2,0.75,1
ZNHPO1,2045,1,3,3,0.75,1
ZNHPO2,2045,1,3,2,0.75,1
