Geo,Year,UrbanArea,TownArea,RuralArea
100,2019,56,0,87
101,2019,92,0,94
102,2019,78,0,109
103,2019,125,0,102
104,2019,0.5,0,68
100,2045,65,0,98
101,2045,105,0,112
102,2045,100,0,119
103,2045,138,0,124
104,2045,1,0,85
