Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
ZNHPO1,2019,5,10,45
ZNHPO2,2019,5,10,45
ZNHPO1,2045,5,10,45
ZNHPO2,2045,5,10,45
