Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
HYPO,2019,102639,0,207922,0,0,0,0,0
HYPO,2045,581994.664,0,2980237.203,0,0,0,0,0
