Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
100,2019,0.468694097,1,1,0,0,0
101,2019,0.886075949,1,1,0,0,0
102,2019,0.862660944,1,1,0,0,0
103,2019,0.990613718,1,1,0,0,0
104,2019,0.014760148,1,1,0,0,0
100,2045,0.665454545,1,1,0,0,0
101,2045,0.942857143,1,1,0,0,0
102,2045,0.879075738,1,1,0,0,0
103,2045,0.997721354,1,1,0,0,0
104,2045,0,1,1,0,0,0
