Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
ZNHPO1,2019,1,0,0
ZNHPO2,2019,1,0,0
ZNHPO1,2045,1,0.3,0
ZNHPO2,2045,1,0.3,0
