Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
HYPO,2019,1,0,0,0.97958,0.02042,0,0,0,1
HYPO,2045,1,0,0,0.97958,0.02042,0,0,0,1
