Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
ZNHPO1,2019,0.35,0.78,0.82,0.65,0.2
ZNHPO2,2019,0.35,0.78,0.82,0.65,0.2
ZNHPO1,2045,0.35,0.78,0.82,0.65,0.2
ZNHPO2,2045,0.35,0.78,0.82,0.65,0.2
