Geo,Year,FuelCost.2005,PowerCost.2005
ZNHPO1,2019,2.86,0.1
ZNHPO2,2019,2.86,0.1
ZNHPO1,2045,3.5,0.24
ZNHPO2,2045,3.5,0.24
