Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Rappahannock County,2024,1076,299,618,2050,1316,2068
Richmond City,2024,34557,13777,43098,79316,26367,32244
Richmond County,2024,1329,403,916,3315,1237,1895
Roanoke City,2024,18595,5573,12747,31797,12177,17466
Roanoke County,2024,15285,5940,10692,30392,13246,21468
Rockbridge County,2024,3023,1329,2214,6145,3637,6183
Rockingham County,2024,15490,5871,10251,25472,11331,17185
Russell County,2024,3892,1350,2715,7627,3921,6033
Salem City,2024,4019,2031,3880,7330,3342,5016
Scott County,2024,3086,1111,2250,6395,3206,5431
Shenandoah County,2024,7716,2807,4760,13219,6342,10081
Smyth County,2024,4584,1647,3285,8883,4259,6762
Southampton County,2024,2688,991,1696,5668,2962,3959
Spotsylvania County,2024,29010,10240,17699,48222,19210,22222
Stafford County,2024,34673,12489,20494,57483,19679,18648
Staunton City,2024,4262,1503,3333,8033,3293,5524
Suffolk City,2024,19270,6159,11728,33235,13304,15100
Surry County,2024,906,349,607,1771,1245,1671
Sussex County,2024,1438,416,1736,3630,1480,2065
Tazewell County,2024,6350,2414,4238,11866,5345,9411
Virginia Beach City,2024,82778,26741,62969,154314,57032,72515
Warren County,2024,7363,2394,4816,13627,6170,7161
Washington County,2024,7555,3155,5861,15983,8029,13343
Waynesboro City,2024,4206,1186,3030,7425,2913,4081
Westmoreland County,2024,2756,859,1970,5168,3056,5017
Williamsburg City,2024,1273,3696,3857,2753,1455,2764
Winchester City,2024,5128,2369,3924,8323,3498,4671
Wise County,2024,5498,2094,4353,11756,4701,7046
Wythe County,2024,4376,1605,2997,8669,4269,6272
York County,2024,13322,4757,8165,22832,9289,12640
Accomack County,2045,5357,1496,2410,9828,4943,7700
Albemarle County,2045,22439,11238,15472,42567,18521,28573
Alexandria City,2045,28443,7034,33706,63898,23026,25229
Alleghany County,2045,1957,687,1244,4215,2069,4145
Amelia County,2045,2418,865,1978,4536,2038,3514
Amherst County,2045,5119,1791,3039,9535,4610,7798
Appomattox County,2045,3190,1003,2018,5331,2845,3896
Arlington County,2045,41807,8988,46697,116745,26984,31548
Augusta County,2045,12495,4484,7592,24996,12742,23396
Bath County,2045,393,86,421,1179,565,1196
Bedford County,2045,14478,4571,7511,29744,13152,24954
Bland County,2045,677,197,559,1872,811,1835
Botetourt County,2045,4842,1716,2342,10995,5384,11744
Bristol City,2045,2983,1043,1521,5484,2089,4438
Brunswick County,2045,1649,617,1674,4924,2772,3612
Buchanan County,2045,2141,696,1197,5064,2685,5216
Buckingham County,2045,2852,992,1651,5615,2684,4325
Buena Vista City,2045,1204,783,897,1963,803,1426
Campbell County,2045,9893,3327,6082,22676,9863,12387
Caroline County,2045,7037,2037,4343,13234,5724,6802
Carroll County,2045,4066,1393,3199,8682,3856,8446
Charles City County,2045,923,385,607,2065,1059,1989
Charlotte County,2045,1817,560,1289,3443,1540,2650
Charlottesville City,2045,7857,3066,12255,17851,5734,7448
Chesapeake City,2045,54061,16482,31684,94336,42235,55424
Chesterfield County,2045,83146,29178,48202,149723,53177,94368
Clarke County,2045,2616,826,1192,5017,2461,4500
Colonial Heights City,2045,3640,1229,2138,6142,2676,3693
Covington City,2045,1126,252,410,1788,691,1194
Craig County,2045,1235,240,351,1443,697,1079
Culpeper County,2045,13167,4144,6868,21872,8698,13750
Cumberland County,2045,1975,715,1081,3217,1380,2463
Danville City,2045,8530,2473,4567,12147,5357,9042
Dickenson County,2045,1792,494,1009,3693,1909,4020
Dinwiddie County,2045,4635,1785,3207,9254,5396,5944
Emporia City,2045,1180,338,582,1475,764,1347
Essex County,2045,1991,792,1226,3345,1691,2659
Fairfax City,2045,5923,1493,3576,9285,3046,4972
Fairfax County,2045,238578,77175,146837,457956,138844,243003
Falls Church City,2045,3205,1161,1437,5973,1755,3201
Fauquier County,2045,14652,4897,7636,27632,12236,20436
Floyd County,2045,2522,869,1353,5110,2501,4829
Fluvanna County,2045,5251,1487,3265,10737,5147,8071
Franklin City,2045,1741,455,954,2219,1156,1981
Franklin County,2045,9797,3111,5579,18268,8591,16532
Frederick County,2045,21768,6492,12218,37146,15265,24792
Fredericksburg City,2045,6295,2577,6576,11727,3769,5409
Galax City,2045,1358,365,687,2053,785,1570
Giles County,2045,2673,861,1431,5157,2225,4545
Gloucester County,2045,7001,2065,3802,13249,7254,10687
Goochland County,2045,3761,1571,2282,10177,5533,9787
