Geo,Year,SFDU,MFDU,GQDU
510131013001,2024,423,37,10
510131013002,2024,266,12,0
510131013003,2024,278,0,0
510131013004,2024,407,543,0
510131013005,2024,551,0,0
510131013006,2024,268,31,0
510131014011,2024,103,994,0
510131014021,2024,42,722,17
510131014022,2024,122,502,0
510131014051,2024,0,623,0
510131014052,2024,0,804,0
510131014061,2024,0,581,0
510131014062,2024,10,1066,0
510131014063,2024,0,427,0
510131014071,2024,0,1154,0
510131014072,2024,0,358,0
510131014073,2024,13,1281,0
510131014081,2024,0,479,0
510131014082,2024,20,277,0
510131014091,2024,15,719,0
510131014092,2024,0,767,0
510131015011,2024,74,729,0
510131015012,2024,0,807,0
510131015013,2024,12,204,0
510131015021,2024,196,24,0
510131015022,2024,261,737,6
510131015023,2024,164,230,0
510131015031,2024,293,293,5
510131015032,2024,190,60,0
510131015033,2024,1,0,0
510131016011,2024,1,0,0
510131016012,2024,69,715,0
510131016021,2024,56,672,0
510131016022,2024,13,346,0
510131016031,2024,0,659,0
510131016032,2024,0,0,8
510131016033,2024,27,654,0
510131016034,2024,12,566,0
510131016035,2024,0,931,0
510131017011,2024,0,650,19
510131017012,2024,0,858,0
510131017013,2024,74,1700,21
510131017031,2024,51,533,0
510131017032,2024,9,972,0
510131017041,2024,13,399,0
510131017042,2024,0,1293,0
510131017051,2024,23,1088,0
510131017052,2024,0,665,0
510131017053,2024,34,727,0
510131018011,2024,13,500,0
510131018012,2024,0,1000,0
510131018013,2024,30,381,0
510131018031,2024,180,97,0
510131018032,2024,37,708,0
510131018033,2024,101,204,0
510131018034,2024,354,461,0
510131018041,2024,81,564,0
510131018042,2024,15,765,0
510131018051,2024,0,599,0
510131018052,2024,0,1158,0
510131018053,2024,0,804,0
510131019001,2024,164,455,26
510131019002,2024,496,25,0
510131019003,2024,204,44,27
510131020011,2024,20,593,0
510131020012,2024,0,1150,0
510131020021,2024,71,535,33
510131020031,2024,0,961,14
510131020032,2024,45,302,0
510131020033,2024,0,1520,0
510131021001,2024,135,363,20
510131021002,2024,538,41,0
510131022001,2024,39,129,0
510131022002,2024,19,803,0
510131022003,2024,114,561,19
510131022004,2024,0,436,0
510131022005,2024,27,738,0
510131023011,2024,325,55,12
510131023012,2024,66,252,217
510131023021,2024,158,404,0
510131023022,2024,553,452,7
510131023023,2024,146,401,0
510131024001,2024,15,369,0
510131024002,2024,398,87,7
510131024003,2024,271,150,7
510131024004,2024,133,171,0
510131025001,2024,11,891,43
510131025002,2024,221,1482,0
510131025003,2024,175,125,9
510131026001,2024,270,1031,0
510131026002,2024,251,97,0
510131027011,2024,0,1111,0
510131027012,2024,61,310,0
510131027021,2024,90,563,0
510131027022,2024,57,163,0
510131028021,2024,315,222,0
510131028031,2024,13,578,0
510131028032,2024,36,553,3
510131028033,2024,132,207,0
510131028041,2024,26,246,0
510131028042,2024,315,221,1
510131028043,2024,0,680,4
510131028044,2024,85,583,0
510131029011,2024,0,703,0
510131029012,2024,7,625,0
510131029013,2024,34,499,0
510131029031,2024,15,859,0
510131029041,2024,43,254,0
510131029042,2024,5,619,0
510131029043,2024,0,1036,0
510131030001,2024,0,654,0
510131030002,2024,32,418,0
510131030003,2024,0,640,0
510131031001,2024,356,799,3
510131031002,2024,263,774,0
510131031003,2024,48,604,5
510131032001,2024,44,610,0
510131032002,2024,20,818,0
510131032003,2024,51,543,0
510131032004,2024,102,984,0
