Geo,Year,TotEmp,RetEmp,SvcEmp
510131013001,2024,483,113,198
510131013002,2024,23,0,11
510131013003,2024,331,0,136
510131013004,2024,388,79,268
510131013005,2024,363,9,102
510131013006,2024,99,0,90
510131014011,2024,13979,33,12426
510131014021,2024,789,20,207
510131014022,2024,7067,17,6893
510131014051,2024,594,1,335
510131014052,2024,255,22,143
510131014061,2024,116,4,86
510131014062,2024,527,56,353
510131014063,2024,930,2,648
510131014071,2024,1380,1,720
510131014072,2024,467,0,445
510131014073,2024,1151,4,904
510131014081,2024,703,0,424
510131014082,2024,2151,319,382
510131014091,2024,4012,0,1128
510131014092,2024,2805,0,2069
510131015011,2024,43,0,36
510131015012,2024,21,10,3
510131015013,2024,256,47,3
510131015021,2024,66,4,58
510131015022,2024,2964,88,1576
510131015023,2024,883,52,674
510131015031,2024,445,183,176
510131015032,2024,59,0,17
510131015033,2024,1245,113,1036
510131016011,2024,105,0,0
510131016012,2024,211,0,122
510131016021,2024,24,0,12
510131016022,2024,2411,1,2011
510131016031,2024,170,2,17
510131016032,2024,1363,81,1146
510131016033,2024,16870,28,13822
510131016034,2024,25,0,21
510131016035,2024,107,0,75
510131017011,2024,59,0,56
510131017012,2024,1591,31,1104
510131017013,2024,2201,3,815
510131017031,2024,110,5,56
510131017032,2024,187,2,60
510131017041,2024,3591,10,1715
510131017042,2024,145,5,107
510131017051,2024,876,4,569
510131017052,2024,1365,36,811
510131017053,2024,2482,0,1655
510131018011,2024,1386,36,1065
510131018012,2024,2456,829,793
510131018013,2024,299,29,99
510131018031,2024,141,13,60
510131018032,2024,190,0,92
510131018033,2024,123,16,80
510131018034,2024,86,28,44
510131018041,2024,108,0,103
510131018042,2024,184,0,148
510131018051,2024,4531,46,3014
510131018052,2024,342,2,324
510131018053,2024,227,0,198
510131019001,2024,1715,85,885
510131019002,2024,82,2,69
510131019003,2024,171,21,114
510131020011,2024,92,4,83
510131020012,2024,534,340,160
510131020021,2024,114,6,100
510131020031,2024,896,48,391
510131020032,2024,178,17,45
510131020033,2024,137,0,28
510131021001,2024,417,9,393
510131021002,2024,61,10,33
510131022001,2024,23,0,19
510131022002,2024,81,3,78
510131022003,2024,82,0,62
510131022004,2024,9,0,7
510131022005,2024,162,80,35
510131023011,2024,89,0,86
510131023012,2024,774,54,689
510131023021,2024,148,65,46
510131023022,2024,634,20,460
510131023023,2024,100,28,35
510131024001,2024,67,0,38
510131024002,2024,141,9,115
510131024003,2024,67,11,26
510131024004,2024,131,0,16
510131025001,2024,168,9,37
510131025002,2024,785,89,350
510131025003,2024,537,30,138
510131026001,2024,214,27,77
510131026002,2024,20,0,17
510131027011,2024,55,19,13
510131027012,2024,20,9,0
510131027021,2024,31,0,16
510131027022,2024,25,0,25
510131028021,2024,658,30,511
510131028031,2024,40,0,3
510131028032,2024,24,0,20
510131028033,2024,21,7,8
510131028041,2024,21,0,21
510131028042,2024,40,9,23
510131028043,2024,89,0,29
510131028044,2024,97,10,34
510131029011,2024,48,0,46
510131029012,2024,1003,31,247
510131029013,2024,186,0,159
510131029031,2024,107,0,101
510131029041,2024,1583,37,733
510131029042,2024,1308,94,537
510131029043,2024,22,0,5
510131030001,2024,685,6,621
510131030002,2024,65,0,8
510131030003,2024,34,0,25
510131031001,2024,112,0,94
510131031002,2024,611,15,174
510131031003,2024,89,1,75
510131032001,2024,49,0,1
510131032002,2024,82,8,13
510131032003,2024,288,3,81
510131032004,2024,389,135,97
510131033001,2024,32,0,16
510131033002,2024,30,0,1
510131034011,2024,411,7,222
510131034012,2024,131,0,129
510131034031,2024,3431,1265,1118
510131034041,2024,6284,4,4852
510131034051,2024,6346,22,3432
510131034052,2024,1622,21,851
510131034053,2024,2665,13,1860
510131035011,2024,21,0,6
510131035012,2024,9,0,8
510131035013,2024,21,0,4
510131035031,2024,423,47,204
510131035032,2024,2528,0,25
510131035033,2024,492,49,198
510131035034,2024,1286,32,230
510131035035,2024,560,0,6
510131035041,2024,121,0,22
510131035042,2024,164,4,23
510131035051,2024,3500,1373,1407
510131035052,2024,320,6,307
510131035053,2024,471,273,32
510131035054,2024,1000,811,38
510131036011,2024,36,0,27
510131036012,2024,488,0,467
510131036013,2024,61,26,22
510131036021,2024,287,2,180
510131036022,2024,676,32,76
510131037001,2024,312,0,37
510131037002,2024,513,41,64
510131038001,2024,229,89,101
510131038002,2024,46,0,44
510131038003,2024,150,0,105
510131038004,2024,118,0,44
510139801001,2024,726,25,329
510139802001,2024,7002,6,679
510150701001,2024,113,22,32
510150701002,2024,43,0,27
