Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Lunenburg County,2045,0,0,6,3,0,4
Lynchburg City,2024,0,4358,4613,299,75,164
Lynchburg City,2045,0,4141,4336,383,68,181
Madison County,2024,0,27,148,23,0,0
Madison County,2045,0,1286,1614,93,60,44
Manassas City,2024,0,4,11,21,10,8
Manassas City,2045,0,5,15,27,13,16
Manassas Park City,2024,0,0,0,0,0,0
Manassas Park City,2045,0,0,0,0,0,0
Martinsville City,2024,0,0,16,54,31,0
Martinsville City,2045,0,0,9,49,23,0
Mathews County,2024,0,4,16,19,13,8
Mathews County,2045,0,290,732,38,20,37
Mecklenburg County,2024,0,4,14,38,15,15
Mecklenburg County,2045,0,3966,1223,41,16,6
Middlesex County,2024,0,4,17,47,18,16
Middlesex County,2045,0,35,306,263,84,547
Montgomery County,2024,0,7538,2542,36,20,69
Montgomery County,2045,0,6534,2652,43,20,95
Nelson County,2024,0,0,0,0,0,0
Nelson County,2045,0,0,0,0,0,0
New Kent County,2024,0,1,6,17,6,9
New Kent County,2045,0,2,9,22,9,17
Newport News City,2024,0,2004,2723,399,60,10
Newport News City,2045,0,201,1139,165,18,3
Norfolk City,2024,0,3409,6838,972,149,117
Norfolk City,2045,0,387,213,64,22,21
Northampton County,2024,0,2,13,12,17,14
Northampton County,2045,0,3,5,13,2,8
Northumberland County,2024,0,0,0,0,0,0
Northumberland County,2045,0,1,19,31,2,82
Norton City,2024,0,0,0,4,0,2
Norton City,2045,0,0,0,9,0,5
Nottoway County,2024,0,0,0,0,0,0
Nottoway County,2045,0,0,0,0,0,0
Orange County,2024,0,6,0,8,0,1
Orange County,2045,0,43,93,23,4,9
Page County,2024,0,0,0,6,0,0
Page County,2045,0,3,0,1,3,15
Patrick County,2024,0,0,0,7,0,5
Patrick County,2045,0,0,0,3,1,4
Petersburg City,2024,0,4,22,69,37,38
Petersburg City,2045,0,5,45,73,35,45
Pittsylvania County,2024,0,2,2,8,6,6
Pittsylvania County,2045,0,2,2,8,5,7
Poquoson City,2024,0,0,0,0,0,0
Poquoson City,2045,0,0,0,0,0,0
Portsmouth City,2024,0,182,533,79,0,6
Portsmouth City,2045,0,143,138,1,0,1
Powhatan County,2024,0,0,8,5,0,0
Powhatan County,2045,0,1116,1819,1,0,0
Prince Edward County,2024,0,2494,391,43,12,1
Prince Edward County,2045,0,1962,388,52,10,1
Prince George County,2024,0,2429,2686,354,9,28
Prince George County,2045,0,2965,2763,422,11,37
Prince William County,2024,0,259,960,166,60,240
Prince William County,2045,0,330,1333,216,73,487
Pulaski County,2024,0,4,9,14,0,0
Pulaski County,2045,0,3588,3720,291,63,197
Radford City,2024,0,1845,1437,5,2,0
Radford City,2045,0,1599,1499,6,2,0
Rappahannock County,2024,0,0,0,0,0,0
Rappahannock County,2045,0,15,100,22,0,0
Richmond City,2024,0,3027,2001,347,234,228
Richmond City,2045,0,169,168,21,16,48
Richmond County,2024,0,0,3,16,0,2
Richmond County,2045,0,6,11,20,9,8
Roanoke City,2024,0,22,84,170,62,131
Roanoke City,2045,0,343,389,65,65,68
Roanoke County,2024,0,0,0,0,0,0
Roanoke County,2045,0,0,0,0,0,0
Rockbridge County,2024,0,7,293,5,1,2
Rockbridge County,2045,0,6,275,6,1,3
Rockingham County,2024,0,494,662,43,23,16
Rockingham County,2045,0,111,151,11,6,6
Russell County,2024,0,4,9,65,36,59
Russell County,2045,0,1,4,34,10,21
Salem City,2024,0,602,788,14,6,0
Salem City,2045,0,534,714,16,6,0
Scott County,2024,0,1,0,16,6,1
Scott County,2045,0,3,7,31,11,9
Shenandoah County,2024,0,189,48,32,10,18
Shenandoah County,2045,0,8204,2711,41,21,95
Smyth County,2024,0,0,0,4,6,9
Smyth County,2045,0,0,0,4,4,10
Southampton County,2024,0,0,0,0,0,0
Southampton County,2045,0,0,0,0,0,0
Spotsylvania County,2024,0,3,9,39,11,24
Spotsylvania County,2045,0,4,11,54,14,44
Stafford County,2024,0,360,1888,240,28,5
Stafford County,2045,0,6408,17696,2530,367,503
Staunton City,2024,0,500,326,79,27,25
Staunton City,2045,0,875,635,257,93,131
Suffolk City,2024,0,14,36,48,0,120
Suffolk City,2045,0,2830,2621,61,0,2
Surry County,2024,0,0,0,0,0,0
Surry County,2045,0,2,18,12,14,19
Sussex County,2024,0,0,0,0,0,0
Sussex County,2045,0,0,0,0,0,0
Tazewell County,2024,0,0,0,1,0,1
Tazewell County,2045,0,0,0,3,0,2
Virginia Beach City,2024,0,1060,1706,363,134,0
Virginia Beach City,2045,0,534,256,46,25,0
Warren County,2024,0,79,138,29,20,51
Warren County,2045,0,2,20,326,148,75
Washington County,2024,0,281,413,66,66,61
Washington County,2045,0,242,377,68,58,73
Waynesboro City,2024,0,0,3,16,9,4
Waynesboro City,2045,0,0,3,17,7,6
Westmoreland County,2024,0,0,0,9,0,0
Westmoreland County,2045,0,0,0,10,0,0
Williamsburg City,2024,0,2410,2354,49,0,1
Williamsburg City,2045,0,2236,2894,63,0,2
Winchester City,2024,0,502,301,46,22,0
Winchester City,2045,0,351,361,56,25,0
Wise County,2024,0,110,295,40,22,20
Wise County,2045,0,90,436,36,17,22
Wythe County,2024,0,1,10,10,9,5
Wythe County,2045,0,3,18,68,32,50
York County,2024,0,186,605,36,11,33
York County,2045,0,155,565,41,13,57
