Geo,Year,FwyLaneMi,ArtLaneMi
Manassas Park City,2024,0,10.62
Martinsville City,2024,0,130.86
Mathews County,2024,0,67.19
Mecklenburg County,2024,78.08,423.74
Middlesex County,2024,0,135.87
Montgomery County,2024,114.75,202.74
Nelson County,2024,0,261.92
New Kent County,2024,81.84,192.11
Newport News City,2024,109.74,358.5
Norfolk City,2024,145.38,646.2
Northampton County,2024,0,159.95
Northumberland County,2024,0,111.44
Norton City,2024,0,21.36
Nottoway County,2024,0,222.09
Orange County,2024,0,187.52
Page County,2024,0,146.83
Patrick County,2024,0,239.1
Petersburg City,2024,58.02,224.94
Pittsylvania County,2024,0,551.68
Poquoson City,2024,0,11.34
Portsmouth City,2024,34.26,263.16
Powhatan County,2024,0,137.62
Prince Edward County,2024,0,222.38
Prince George County,2024,136.77,190.51
Prince William County,2024,205.64,395.41
Pulaski County,2024,70.16,101.15
Radford City,2024,0,78.18
Rappahannock County,2024,0,141.45
Richmond City,2024,105.66,879.66
Richmond County,2024,0,110.16
Roanoke City,2024,33.06,411.6
Roanoke County,2024,106.09,217.11
Rockbridge County,2024,192.52,280.08
Rockingham County,2024,108.4,428.85
Russell County,2024,0,296.09
Salem City,2024,2.34,123.66
Scott County,2024,0,293.22
Shenandoah County,2024,140.44,204.85
Smyth County,2024,93.44,180.88
Southampton County,2024,0,281.91
Spotsylvania County,2024,93.42,224.29
Stafford County,2024,121.56,172.05
Staunton City,2024,0,141.6
Suffolk City,2024,33.78,786.96
Surry County,2024,0,97.36
Sussex County,2024,70.4,221.82
Tazewell County,2024,0,365.2
Virginia Beach City,2024,86.22,1055.58
Warren County,2024,63.49,93.1
Washington County,2024,161.01,268.25
Waynesboro City,2024,15.48,110.34
Westmoreland County,2024,0,141.43
Williamsburg City,2024,0,86.28
Winchester City,2024,0.42,104.64
Wise County,2024,0,339.07
Wythe County,2024,196.67,143.09
York County,2024,292.95,160.83
Accomack County,2045,0,284.66
Albemarle County,2045,124.8,384.3
Alexandria City,2045,27,270.3
Alleghany County,2045,163.96,156.42
Amelia County,2045,0,114.48
Amherst County,2045,0,295.03
Appomattox County,2045,0,148.63
Arlington County,2045,80.28,141.6
Augusta County,2045,178.2,413
Bath County,2045,0,149.62
Bedford County,2045,0,383.57
Bland County,2045,86.76,156.1
Botetourt County,2045,107.44,264.35
Bristol City,2045,53.34,116.94
Brunswick County,2045,83.08,248.99
Buchanan County,2045,0,212.47
Buckingham County,2045,0,198.95
Buena Vista City,2045,0,33.6
Campbell County,2045,0,327.46
Caroline County,2045,93.24,294.4
Carroll County,2045,103.66,236.8
Charles City County,2045,0,89.42
Charlotte County,2045,0,275.4
Charlottesville City,2045,1.02,145.74
Chesapeake City,2045,142.14,919.56
Chesterfield County,2045,155.27,587.31
Clarke County,2045,0,149.08
Colonial Heights City,2045,21.42,50.4
Covington City,2045,8.94,18.24
Craig County,2045,0,119.32
Culpeper County,2045,0,236.74
Cumberland County,2045,0,106.28
Danville City,2045,0,352.38
Dickenson County,2045,0,168.03
Dinwiddie County,2045,114.96,242.42
Emporia City,2045,10.02,33.06
Essex County,2045,0,171.09
Fairfax City,2045,0,91.86
Fairfax County,2045,567.25,795.46
Falls Church City,2045,0,34.2
Fauquier County,2045,87.72,342.36
Floyd County,2045,0,112.74
Fluvanna County,2045,0,103.46
Franklin City,2045,0,46.2
Franklin County,2045,0,241.8
Frederick County,2045,95.28,324.07
Fredericksburg City,2045,19.08,87.3
Galax City,2045,0,76.26
Giles County,2045,0,230.76
Gloucester County,2045,0,188.89
Goochland County,2045,114.48,192.27
Grayson County,2045,0,235.34
Greene County,2045,0,89.38
Greensville County,2045,68.56,88.11
Halifax County,2045,0,431.19
Hampton City,2045,93.72,401.64
Hanover County,2045,172.59,236.76
Harrisonburg City,2045,38.64,181.08
Henrico County,2045,392.1,408.17
Henry County,2045,0,341.28
Highland County,2045,0,142.24
Hopewell City,2045,18.9,106.68
Isle of Wight County,2045,0,225.27
James City County,2045,35.17,193.98
King and Queen County,2045,0,137.16
King George County,2045,0,209.01
King William County,2045,0,113
Lancaster County,2045,0,126.16
Lee County,2045,0,333.41
Lexington City,2045,0,26.76
Loudoun County,2045,0,389.09
Louisa County,2045,66.2,251.31
Lunenburg County,2045,0,127.1
Lynchburg City,2045,0,480.48
Madison County,2045,0,158.68
Manassas City,2045,0,139.92
Manassas Park City,2045,0,10.62
Martinsville City,2045,0,130.86
Mathews County,2045,0,67.19
Mecklenburg County,2045,78.08,423.74
Middlesex County,2045,0,135.87
Montgomery County,2045,114.75,202.74
Nelson County,2045,0,261.92
New Kent County,2045,81.84,192.11
Newport News City,2045,109.74,358.5
Norfolk City,2045,145.38,646.2
Northampton County,2045,0,159.95
Northumberland County,2045,0,111.44
Norton City,2045,0,21.36
Nottoway County,2045,0,222.09
Orange County,2045,0,187.52
Page County,2045,0,146.83
Patrick County,2045,0,239.1
Petersburg City,2045,58.02,224.94
Pittsylvania County,2045,0,551.68
Poquoson City,2045,0,11.34
Portsmouth City,2045,34.26,263.16
Powhatan County,2045,0,137.62
Prince Edward County,2045,0,222.38
Prince George County,2045,136.77,190.51
Prince William County,2045,205.64,395.41
Pulaski County,2045,70.16,101.15
Radford City,2045,0,78.18
Rappahannock County,2045,0,141.45
Richmond City,2045,105.66,879.66
Richmond County,2045,0,110.16
Roanoke City,2045,33.06,411.6
Roanoke County,2045,106.09,217.11
Rockbridge County,2045,192.52,280.08
Rockingham County,2045,108.4,428.85
Russell County,2045,0,296.09
Salem City,2045,2.34,123.66
Scott County,2045,0,293.22
Shenandoah County,2045,140.44,204.85
Smyth County,2045,93.44,180.88
Southampton County,2045,0,281.91
Spotsylvania County,2045,93.42,224.29
Stafford County,2045,121.56,172.05
Staunton City,2045,0,141.6
Suffolk City,2045,33.78,786.96
Surry County,2045,0,97.36
Sussex County,2045,70.4,221.82
Tazewell County,2045,0,365.2
Virginia Beach City,2045,86.22,1055.58
Warren County,2045,63.49,93.1
Washington County,2045,161.01,268.25
Waynesboro City,2045,15.48,110.34
Westmoreland County,2045,0,141.43
Williamsburg City,2045,0,86.28
Winchester City,2045,0.42,104.64
Wise County,2045,0,339.07
Wythe County,2045,196.67,143.09
York County,2045,292.95,160.83
