Geo,Year,D3bpo4
510010901011,2024,2.17134
510010901012,2024,7.718268
510010901021,2024,5.339803
510010901022,2024,6.040459
510010902011,2024,0.603383
510010902012,2024,0.886751
510010902021,2024,0.110651
510010902022,2024,0.156782
510010902023,2024,0.090774
510010903001,2024,0.280072
510010903002,2024,0.076079
510010903003,2024,0.161419
510010904011,2024,0.12714
510010904012,2024,0.057628
510010904021,2024,0.167295
510010904022,2024,0.321841
510010905001,2024,0.263913
510010905002,2024,9.412391
510010905003,2024,0.192659
510010906001,2024,0.518542
510010906002,2024,0.036987
510010906003,2024,6.732112
510010906004,2024,0.169979
510010907001,2024,1.648677
510010907002,2024,1.435684
510010907003,2024,0.228393
510010907004,2024,0.408852
510010907005,2024,0.140214
510010908001,2024,0.584898
510010908002,2024,0.241767
510010908003,2024,0.751833
510019801001,2024,0.164511
510019802001,2024,0.936247
510019901000,2024,0
510019902000,2024,0
510030101001,2024,0.172705
510030101002,2024,0.045558
510030101003,2024,0.042816
510030102011,2024,0.336042
510030102012,2024,0.031064
510030102013,2024,0.364656
510030102021,2024,0.091404
510030102022,2024,0.262273
510030103011,2024,2.715696
510030103021,2024,0.718859
510030103031,2024,5.288672
510030103032,2024,0.000194
510030103033,2024,3.2586
510030104011,2024,0.000026
510030104012,2024,0.135585
510030104013,2024,0.211926
510030104021,2024,0.289017
510030104022,2024,0.659701
510030104023,2024,0.285863
510030105011,2024,0.000162
510030105012,2024,2.48708
510030105021,2024,14.085237
510030105022,2024,0.257279
510030105023,2024,0.177259
510030106021,2024,7.058031
510030106022,2024,4.711628
510030106023,2024,2.75911
510030106031,2024,2.675259
510030106032,2024,2.617214
510030106041,2024,4.61811
510030106042,2024,0.386926
510030106043,2024,2.193454
510030107011,2024,9.547618
510030107012,2024,4.740667
510030107021,2024,8.106849
510030107022,2024,2.530775
510030107023,2024,6.54146
510030108011,2024,19.49432
510030108012,2024,4.983452
510030108013,2024,2.669005
510030108021,2024,2.864069
510030108022,2024,0
510030109011,2024,2.516304
510030109012,2024,32.199999
510030109041,2024,190.143538
510030109042,2024,4.929039
510030109043,2024,122.780668
510030110001,2024,0.851407
510030110002,2024,2.088436
510030110003,2024,0.310551
510030110004,2024,0.50676
510030110005,2024,0.4313
510030111011,2024,0.965716
510030111012,2024,0.451695
510030111013,2024,1.653308
510030111021,2024,2.270017
510030111022,2024,1.237701
510030111031,2024,2.082347
510030111032,2024,1.113313
510030111033,2024,1.905245
510030111034,2024,0.966978
510030111035,2024,1.142796
510030112011,2024,0.045954
510030112012,2024,0.162684
510030112013,2024,0.043128
510030112021,2024,0.022515
510030112022,2024,0.131794
510030112023,2024,0.039738
510030112024,2024,0.544871
510030113011,2024,0.000486
510030113012,2024,0.02608
510030113013,2024,0.064134
510030113014,2024,0.017828
510030113015,2024,0.047484
510030113021,2024,0.526911
510030113022,2024,13.291527
510030113023,2024,0.609093
510030113024,2024,0.683857
510030113031,2024,0
510030113032,2024,5.121578
510030114001,2024,0.286096
510030114002,2024,1.902688
510030114003,2024,0.044924
510030114004,2024,0
510050701001,2024,10.766077
510050701002,2024,63.126768
510050701003,2024,84.148286
510050701004,2024,8.043
510050801001,2024,0.061602
510050801002,2024,1.466922
510050801003,2024,1.842378
510050802011,2024,0.202959
510050802012,2024,0.312125
510050802021,2024,0.022662
510050802022,2024,0.024559
510050802023,2024,1.509431
510050803011,2024,0.087396
510050803021,2024,0.031442
510050803022,2024,0.017917
510079301011,2024,0
510079301012,2024,0.084717
510079301021,2024,0.216606
510079301022,2024,0.167535
510079301023,2024,0.03252
510079302001,2024,0.03325
510079302002,2024,0.527396
510079302003,2024,0.072134
510079302004,2024,0.059472
510090101001,2024,0.092602
510090101002,2024,0.110494
510090101003,2024,0.029977
510090101004,2024,0.063268
510090102011,2024,0.049596
510090102012,2024,1.01638
510090102013,2024,3.711883
510090102021,2024,0.012627
510090102022,2024,0.114694
510090103001,2024,0.174219
510090103002,2024,0.044754
510090103003,2024,0.099816
510090104011,2024,1.039776
510090104012,2024,0.15497
510090104021,2024,0.504522
510090104022,2024,1.208527
510090105041,2024,3.853186
510090105042,2024,0.563669
510090105043,2024,0.784637
510090105051,2024,5.680197
510090105061,2024,0.749237
510090106001,2024,0.130649
510090106002,2024,0.095527
510110401011,2024,0.215309
510110401012,2024,0.11217
510110401021,2024,0.521365
510110401022,2024,0.06524
510110401023,2024,8.379208
510110402001,2024,0.028217
510110402002,2024,0.022665
510110402003,2024,0.043894
510110403001,2024,0.090706
510110403002,2024,0.069539
510110403003,2024,0.023965
510110403004,2024,0
510131001001,2024,22.097282
510131001002,2024,20.68698
510131001003,2024,57.742042
510131001004,2024,49.334018
510131002001,2024,39.129324
510131002002,2024,7.373079
510131002003,2024,64.950373
510131002004,2024,66.458225
510131002005,2024,38.736275
510131003001,2024,13.377957
510131003002,2024,18.221547
510131003003,2024,7.245346
510131003004,2024,18.196011
510131003005,2024,32.17595
510131004001,2024,13.517867
510131004002,2024,12.43209
510131004003,2024,14.462907
510131005001,2024,23.716454
510131005002,2024,25.259239
510131005003,2024,9.834865
510131005004,2024,36.004344
510131006001,2024,31.865078
510131006002,2024,23.4665
510131006003,2024,65.975666
510131007001,2024,21.394276
510131007002,2024,48.04101
510131007003,2024,37.286819
510131007004,2024,92.554573
510131007005,2024,34.252825
510131007006,2024,11.132698
510131008001,2024,21.90331
510131008002,2024,64.073511
510131009001,2024,26.812726
510131009002,2024,118.393917
510131009003,2024,55.816659
510131009004,2024,63.107389
510131010001,2024,68.015873
510131010002,2024,55.932514
510131010003,2024,46.098998
510131010004,2024,61.573272
510131011001,2024,41.93227
510131011002,2024,29.64876
510131011003,2024,25.65271
510131011004,2024,41.194608
510131011005,2024,20.754444
510131012001,2024,16.880958
510131012002,2024,79.239936
510131012003,2024,73.99493
510131013001,2024,41.344158
510131013002,2024,55.957405
510131013003,2024,52.352257
510131013004,2024,30.894759
510131013005,2024,55.406224
510131013006,2024,37.760191
510131014011,2024,44.908716
510131014021,2024,64.499001
510131014022,2024,58.51245
510131014051,2024,9.282974
510131014052,2024,17.688636
510131014061,2024,10.891218
510131014062,2024,24.080979
510131014063,2024,44.740342
510131014071,2024,88.727506
510131014072,2024,14.53087
510131014073,2024,17.198186
510131014081,2024,15.770292
510131014082,2024,90.198241
510131014091,2024,64.346308
510131014092,2024,76.376916
510131015011,2024,0
510131015012,2024,8.373705
510131015013,2024,3.97858
510131015021,2024,22.909028
510131015022,2024,72.03172
510131015023,2024,50.369172
510131015031,2024,15.908296
510131015032,2024,85.150423
510131015033,2024,2.514322
510131016011,2024,5.355424
510131016012,2024,14.516604
510131016021,2024,0
510131016022,2024,22.315465
510131016031,2024,0.216188
510131016032,2024,2.892534
510131016033,2024,0.000251
510131016034,2024,7.044266
510131016035,2024,2.170686
510131017011,2024,30.736898
510131017012,2024,117.362532
510131017013,2024,37.068187
510131017031,2024,23.135105
510131017032,2024,18.702303
510131017041,2024,0
510131017042,2024,0
510131017051,2024,48.775887
510131017052,2024,15.578317
510131017053,2024,40.297081
510131018011,2024,26.103801
510131018012,2024,38.816221
510131018013,2024,36.248812
510131018031,2024,113.400712
510131018032,2024,44.894351
510131018033,2024,37.805165
510131018034,2024,113.011473
510131018041,2024,0.002014
510131018042,2024,119.987736
510131018051,2024,132.465027
510131018052,2024,0
510131018053,2024,0
510131019001,2024,20.886613
510131019002,2024,87.914865
510131019003,2024,84.959481
510131020011,2024,0
510131020012,2024,22.440204
510131020021,2024,52.742434
510131020031,2024,57.963305
510131020032,2024,64.112137
510131020033,2024,13.424888
510131021001,2024,51.429131
510131021002,2024,50.807111
510131022001,2024,0
510131022002,2024,43.227566
510131022003,2024,41.699416
510131022004,2024,47.201568
510131022005,2024,48.947882
510131023011,2024,18.07899
510131023012,2024,27.506585
510131023021,2024,37.109579
510131023022,2024,65.989292
510131023023,2024,32.752405
510131024001,2024,41.565297
510131024002,2024,46.624288
510131024003,2024,36.62307
510131024004,2024,44.938587
510131025001,2024,49.278906
510131025002,2024,73.917006
510131025003,2024,45.851071
510131026001,2024,26.895651
510131026002,2024,103.791159
510131027011,2024,0
510131027012,2024,0
510131027021,2024,0
510131027022,2024,70.16714
510131028021,2024,42.543928
510131028031,2024,0
510131028032,2024,0
510131028033,2024,14.504024
510131028041,2024,35.306432
510131028042,2024,23.06855
510131028043,2024,3.426014
510131028044,2024,7.816962
510131029011,2024,16.378174
510131029012,2024,39.879038
510131029013,2024,17.911168
510131029031,2024,14.376238
510131029041,2024,1.263924
510131029042,2024,2.291021
510131029043,2024,3.019939
510131030001,2024,0
510131030002,2024,8.416696
510131030003,2024,11.517298
510131031001,2024,17.542392
510131031002,2024,57.721342
510131031003,2024,26.504121
510131032001,2024,0
510131032002,2024,0
510131032003,2024,26.588353
510131032004,2024,45.710971
510131033001,2024,38.133417
510131033002,2024,0
510131034011,2024,17.561676
510131034012,2024,1.265722
510131034031,2024,0.002369
510131034041,2024,0
510131034051,2024,0
510131034052,2024,31.185819
510131034053,2024,0
510131035011,2024,0
510131035012,2024,54.572062
510131035013,2024,39.162104
510131035031,2024,16.531278
510131035032,2024,0
510131035033,2024,0
510131035034,2024,11.137477
510131035035,2024,0
510131035041,2024,15.389128
510131035042,2024,3.310968
510131035051,2024,26.219533
510131035052,2024,75.831336
510131035053,2024,9.886842
510131035054,2024,12.343288
510131036011,2024,155.23005
510131036012,2024,172.56034
510131036013,2024,57.991934
510131036021,2024,184.606828
510131036022,2024,109.463812
510131037001,2024,14.744954
510131037002,2024,8.308401
510131038001,2024,0
510131038002,2024,15.267547
510131038003,2024,10.669269
510131038004,2024,23.943818
510139801001,2024,30.950392
510139802001,2024,6.432559
510150701001,2024,0.038316
510150701002,2024,0.580993
510150701003,2024,0.026049
510150701004,2024,0
510150702001,2024,0.138803
510150702002,2024,0.023722
510150702003,2024,0.12132
510150703001,2024,0.208267
510150703002,2024,0.22641
510150703003,2024,0.149359
510150703004,2024,0.619723
510150704001,2024,0.12133
510150704002,2024,0.088795
510150704003,2024,0.43143
510150705001,2024,0.123046
510150705002,2024,0.134992
510150705003,2024,0.324306
510150705004,2024,0.072951
510150706011,2024,0.678877
510150706012,2024,0.763971
510150706021,2024,0.847034
510150706022,2024,4.185837
510150706031,2024,0.023144
510150706032,2024,0.337198
510150707011,2024,0.078251
510150707012,2024,0.694372
510150707013,2024,1.193046
