Geo,Year,HHIncomePC.2024,GQIncomePC.2024
James City County,2045,57095,15536
King and Queen County,2045,41553,15536
King George County,2045,58074,15536
King William County,2045,44348,15536
Lancaster County,2045,47567,15536
Lee County,2045,25081,15536
Loudoun County,2045,76160,15536
Louisa County,2045,46357,15536
Lunenburg County,2045,36182,15536
Madison County,2045,45665,15536
Mathews County,2045,52466,15536
Mecklenburg County,2045,37104,15536
Middlesex County,2045,48531,15536
Montgomery County,2045,42337,15536
Nelson County,2045,44216,15536
New Kent County,2045,59503,15536
Northampton County,2045,37110,15536
Northumberland County,2045,46644,15536
Nottoway County,2045,39450,15536
Orange County,2045,49773,15536
Page County,2045,33399,15536
Patrick County,2045,33624,15536
Pittsylvania County,2045,33019,15536
Powhatan County,2045,63094,15536
Prince Edward County,2045,36445,15536
Prince George County,2045,43154,15536
Prince William County,2045,64952,15536
Pulaski County,2045,37053,15536
Rappahannock County,2045,52136,15536
Richmond County,2045,42681,15536
Roanoke County,2045,47784,15536
Rockbridge County,2045,40975,15536
Rockingham County,2045,45248,15536
Russell County,2045,33553,15536
Scott County,2045,33232,15536
Shenandoah County,2045,36070,15536
Smyth County,2045,32247,15536
Southampton County,2045,41014,15536
Spotsylvania County,2045,55976,15536
Stafford County,2045,77173,15536
Surry County,2045,52916,15536
Sussex County,2045,43953,15536
Tazewell County,2045,28814,15536
Warren County,2045,43991,15536
Washington County,2045,37915,15536
Westmoreland County,2045,38579,15536
Wise County,2045,31274,15536
Wythe County,2045,33536,15536
York County,2045,62058,15536
Alexandria City,2045,81260,15536
Bristol City,2045,32297,15536
Buena Vista City,2045,35590,15536
Charlottesville City,2045,47781,15536
Chesapeake City,2045,48112,15536
Colonial Heights City,2045,43765,15536
Covington City,2045,28115,15536
Danville City,2045,29916,15536
Emporia City,2045,28288,15536
Fairfax City,2045,76509,15536
Falls Church City,2045,90044,15536
Franklin City,2045,33717,15536
Fredericksburg City,2045,54362,15536
Galax City,2045,24553,15536
Hampton City,2045,43758,15536
Harrisonburg City,2045,35642,15536
Hopewell City,2045,32359,15536
Lexington City,2045,58799,15536
Lynchburg City,2045,36003,15536
Manassas City,2045,56635,15536
Manassas Park City,2045,51596,15536
Martinsville City,2045,28841,15536
Newport News City,2045,42999,15536
Norfolk City,2045,40992,15536
Norton City,2045,27276,15536
Petersburg City,2045,36646,15536
Poquoson City,2045,64465,15536
Portsmouth City,2045,39478,15536
Radford City,2045,34271,15536
Richmond City,2045,42668,15536
Roanoke City,2045,34719,15536
Salem City,2045,40345,15536
Staunton City,2045,41797,15536
Suffolk City,2045,55047,15536
Virginia Beach City,2045,51732,15536
Waynesboro City,2045,35951,15536
Williamsburg City,2045,45031,15536
Winchester City,2045,37065,15536
