Geo,Year,AutoMeanAge,LtTrkMeanAge
Page County,2024,11.05,11.05
Page County,2045,11.8,11.8
Patrick County,2024,11.46,11.46
Patrick County,2045,12.21,12.21
Petersburg City,2024,10.6,10.6
Petersburg City,2045,11.35,11.35
Pittsylvania County,2024,13.99,13.99
Pittsylvania County,2045,13.99,13.99
Poquoson City,2024,9.9,9.9
Poquoson City,2045,10.65,10.65
Portsmouth City,2024,12.02,12.02
Portsmouth City,2045,12.77,12.77
Powhatan County,2024,13.65,13.65
Powhatan County,2045,13.99,13.99
Prince Edward County,2024,10.49,10.49
Prince Edward County,2045,11.24,11.24
Prince George County,2024,12.82,12.82
Prince George County,2045,13.57,13.57
Prince William County,2024,12.51,12.51
Prince William County,2045,13.26,13.26
Pulaski County,2024,13.89,13.89
Pulaski County,2045,13.99,13.99
Radford City,2024,12.47,12.47
Radford City,2045,13.22,13.22
Rappahannock County,2024,10.75,10.75
Rappahannock County,2045,11.5,11.5
Richmond City,2024,9.89,9.89
Richmond City,2045,10.64,10.64
Richmond County,2024,8.99,8.99
Richmond County,2045,9.74,9.74
Roanoke City,2024,9.7,9.7
Roanoke City,2045,10.45,10.45
Roanoke County,2024,10.49,10.49
Roanoke County,2045,11.24,11.24
Rockbridge County,2024,13.94,13.94
Rockbridge County,2045,13.99,13.99
Rockingham County,2024,12.59,12.59
Rockingham County,2045,13.34,13.34
Russell County,2024,13.63,13.63
Russell County,2045,13.99,13.99
Salem City,2024,10.54,10.54
Salem City,2045,11.29,11.29
Scott County,2024,13.02,13.02
Scott County,2045,13.77,13.77
Shenandoah County,2024,13.78,13.78
Shenandoah County,2045,13.99,13.99
Smyth County,2024,13.99,13.99
Smyth County,2045,13.99,13.99
Southampton County,2024,12.06,12.06
Southampton County,2045,12.81,12.81
Spotsylvania County,2024,11.69,11.69
Spotsylvania County,2045,12.44,12.44
Stafford County,2024,13.99,13.99
Stafford County,2045,13.99,13.99
Staunton City,2024,10.89,10.89
Staunton City,2045,11.64,11.64
Suffolk City,2024,12.42,12.42
Suffolk City,2045,13.17,13.17
Surry County,2024,12.81,12.81
Surry County,2045,13.56,13.56
Sussex County,2024,13.99,13.99
Sussex County,2045,13.99,13.99
Tazewell County,2024,12.01,12.01
Tazewell County,2045,12.76,12.76
Virginia Beach City,2024,12.02,12.02
Virginia Beach City,2045,12.77,12.77
Warren County,2024,8.83,8.83
Warren County,2045,9.58,9.58
Washington County,2024,9.94,9.94
Washington County,2045,10.69,10.69
Waynesboro City,2024,11.04,11.04
Waynesboro City,2045,11.79,11.79
Westmoreland County,2024,9.89,9.89
Westmoreland County,2045,10.64,10.64
Williamsburg City,2024,11.06,11.06
Williamsburg City,2045,11.81,11.81
Winchester City,2024,13.43,13.43
Winchester City,2045,13.99,13.99
Wise County,2024,11.69,11.69
Wise County,2045,12.44,12.44
Wythe County,2024,13.04,13.04
Wythe County,2045,13.79,13.79
York County,2024,13.99,13.99
York County,2045,13.99,13.99
