Geo,Year,PropSovDvmtDiverted
Charles City County,2024,0.01
Charles City County,2045,0.01
Chesterfield County,2024,0.01
Chesterfield County,2045,0.01
Goochland County,2024,0.01
Goochland County,2045,0.01
Hanover County,2024,0.01
Hanover County,2045,0.01
Henrico County,2024,0.01
Henrico County,2045,0.01
New Kent County,2024,0.01
New Kent County,2045,0.01
Powhatan County,2024,0.01
Powhatan County,2045,0.01
Richmond City,2024,0.02
Richmond City,2045,0.02
