Year,DrvPerPrsn15to19,DrvPerPrsn20to29,DrvPerPrsn30to54,DrvPerPrsn55to64,DrvPerPrsn65Plus
2024,0.383,0.832,0.861,0.894,0.863
2045,0.383,0.832,0.861,0.894,0.863
