Geo,Year,TotEmp,RetEmp,SvcEmp
510411010082,2024,522,23,309
510411010091,2024,1168,644,185
510411010092,2024,181,22,101
510411010093,2024,233,0,69
510411010111,2024,582,108,275
510411010112,2024,41,0,20
510411010121,2024,37,0,14
510411010122,2024,471,16,195
510411010123,2024,2552,972,614
510411010131,2024,590,2,157
510411010132,2024,120,0,60
510411010141,2024,114,0,47
510411010151,2024,722,346,57
510411010152,2024,37,8,19
510411010153,2024,263,1,74
510754001011,2024,12189,7,818
510754001012,2024,602,13,175
510754001021,2024,2510,473,470
510754001022,2024,3080,829,624
510754002001,2024,640,25,116
510754002002,2024,130,3,45
510754002003,2024,156,18,52
510754002004,2024,265,8,138
510754003001,2024,384,4,19
510754004001,2024,1428,64,792
510754004002,2024,90,0,24
510754004003,2024,29,0,11
510754004004,2024,272,115,90
510754005001,2024,52,11,23
510754005002,2024,144,4,15
510754005003,2024,50,6,6
510853201001,2024,2392,36,47
510853201002,2024,222,6,49
510853201003,2024,111,10,66
510853201004,2024,107,3,47
510853202001,2024,550,45,113
510853202002,2024,386,153,82
510853202003,2024,251,7,56
510853203001,2024,490,20,316
510853203002,2024,104,2,48
510853203003,2024,328,0,205
510853204001,2024,1214,4,182
510853204002,2024,821,85,98
510853204003,2024,5538,765,540
510853205001,2024,163,0,28
510853205002,2024,142,5,115
510853205003,2024,150,2,83
510853206011,2024,250,28,124
510853206012,2024,4022,125,3650
510853206013,2024,1866,474,184
510853206021,2024,3283,351,1484
510853206022,2024,2384,804,230
510853207011,2024,99,3,25
510853207012,2024,238,7,92
510853207021,2024,116,2,50
510853207022,2024,1469,0,196
510853208011,2024,8707,631,1121
510853208031,2024,1266,307,523
510853208032,2024,53,0,44
510853208033,2024,113,0,72
510853208041,2024,545,162,159
510853208042,2024,186,0,123
510853208043,2024,798,59,413
510853208051,2024,83,4,59
510853208052,2024,188,0,115
510853209011,2024,172,0,11
510853209012,2024,535,183,119
510853209013,2024,396,3,115
510853209021,2024,3658,139,3259
510853209022,2024,3969,35,605
510853210011,2024,704,52,260
510853210012,2024,21,0,6
510853210013,2024,1618,27,408
510853210031,2024,1194,489,460
510853210041,2024,89,0,62
510853210042,2024,46,21,15
