Geo,Year,D3bpo4
510366001001,2024,0.296739
510366001002,2024,0.125196
510366002001,2024,0.053583
510366002002,2024,0.083928
510366003001,2024,0
510366003002,2024,0
510411001061,2024,3.074325
510411001062,2024,9.268856
510411001071,2024,1.061885
510411001072,2024,0.68002
510411002061,2024,4.33019
510411002062,2024,3.144431
510411002063,2024,14.606342
510411002064,2024,6.07208
510411002065,2024,2.974462
510411002081,2024,7.578963
510411002082,2024,11.455609
510411002091,2024,2.91919
510411002092,2024,7.453934
510411002093,2024,10.259719
510411002094,2024,11.220258
510411002101,2024,3.830467
510411002111,2024,9.586757
510411002112,2024,14.352977
510411002121,2024,7.841127
510411002122,2024,7.170525
510411002123,2024,5.645598
510411003001,2024,1.815554
510411003002,2024,4.938535
510411004031,2024,0.593564
510411004032,2024,0.368502
510411004033,2024,0.82362
510411004034,2024,0.149118
510411004035,2024,0.752145
510411004041,2024,0.148395
510411004042,2024,0
510411004051,2024,13.621692
510411004052,2024,14.818903
510411004061,2024,21.250689
510411004071,2024,9.08601
510411004072,2024,2.336755
510411004073,2024,10.322322
510411004091,2024,6.537773
510411004092,2024,3.51347
510411004093,2024,8.611284
510411004094,2024,4.423332
510411004095,2024,6.630103
510411004101,2024,2.877723
510411004102,2024,4.921752
510411005051,2024,9.855873
510411005052,2024,2.107227
510411005053,2024,4.024529
510411005054,2024,8.705315
510411005055,2024,18.15316
510411005061,2024,5.385649
510411005062,2024,0.510708
510411005063,2024,10.286012
510411005064,2024,1.027996
510411005065,2024,0.944503
510411005071,2024,3.337478
510411005072,2024,2.49551
510411005073,2024,4.110428
510411005081,2024,6.378816
510411005082,2024,2.821704
510411005091,2024,0.293225
510411005092,2024,1.015795
510411005093,2024,1.406033
510411005094,2024,1.966923
510411005101,2024,21.676325
510411005102,2024,6.016471
510411006001,2024,5.657561
510411006002,2024,95.473612
510411006003,2024,4.969139
510411007011,2024,8.219487
510411007012,2024,0
510411007013,2024,4.599929
510411007014,2024,0.747669
510411007021,2024,0.666025
510411007041,2024,0.370292
510411007042,2024,0.211676
510411007043,2024,0.309015
510411007051,2024,0.116249
510411007052,2024,0.541264
510411008041,2024,3.700596
510411008042,2024,12.375043
510411008043,2024,12.788506
510411008051,2024,9.367866
510411008052,2024,21.708658
510411008053,2024,4.296793
510411008054,2024,5.316538
510411008061,2024,10.610421
510411008062,2024,15.675821
510411008071,2024,5.969735
510411008121,2024,3.01795
510411008122,2024,1.894297
510411008123,2024,7.365002
510411008141,2024,3.835434
510411008142,2024,6.102735
510411008151,2024,10.040034
510411008152,2024,7.533952
510411008161,2024,8.930824
510411008162,2024,7.220075
510411008163,2024,7.163051
510411008171,2024,19.686968
510411008172,2024,4.394815
510411008181,2024,7.00978
510411008182,2024,5.278031
510411008191,2024,6.505976
510411008192,2024,4.288449
510411008193,2024,3.686348
510411008201,2024,0.565373
510411008202,2024,2.531127
510411008211,2024,0.449067
510411008212,2024,0.578178
510411008213,2024,0.393293
510411008221,2024,0.168352
510411008222,2024,3.672034
510411008223,2024,1.199347
510411008231,2024,4.943553
510411008232,2024,1.688175
510411008233,2024,4.125945
510411009021,2024,17.504151
510411009022,2024,7.909447
510411009023,2024,18.403997
510411009071,2024,2.343874
510411009072,2024,0
510411009101,2024,12.674071
510411009102,2024,8.302054
510411009103,2024,4.058737
510411009104,2024,11.865109
510411009121,2024,1.06231
510411009122,2024,2.346376
510411009123,2024,2.812853
510411009124,2024,1.560062
510411009151,2024,3.702308
510411009152,2024,5.997293
510411009191,2024,4.007805
510411009192,2024,7.032501
510411009193,2024,3.724359
510411009201,2024,14.895122
510411009211,2024,26.949348
510411009212,2024,7.931899
510411009213,2024,22.245279
510411009214,2024,4.791454
510411009221,2024,6.271076
510411009222,2024,6.027421
510411009223,2024,7.367884
510411009231,2024,10.120361
510411009232,2024,5.653866
510411009241,2024,0.735129
510411009242,2024,2.528652
510411009261,2024,1.738409
510411009262,2024,2.739245
510411009263,2024,1.515077
510411009264,2024,1.787154
510411009281,2024,1.510213
510411009282,2024,1.628107
510411009283,2024,4.183297
510411009291,2024,2.815768
510411009292,2024,4.410966
510411009293,2024,6.626147
510411009294,2024,4.636732
510411009301,2024,15.937181
510411009302,2024,15.015683
510411009311,2024,5.81657
510411009312,2024,8.083673
510411009313,2024,6.074077
510411009321,2024,6.263351
510411009322,2024,11.13728
510411009331,2024,1.069387
510411009332,2024,1.606537
510411009341,2024,10.028578
510411009342,2024,14.952945
510411009343,2024,2.301083
510411009344,2024,3.193988
510411009351,2024,1.526504
510411009352,2024,3.807989
510411009361,2024,3.858018
510411009362,2024,6.638216
510411009371,2024,1.727076
510411009372,2024,6.19577
510411009381,2024,0.340411
510411009382,2024,3.184685
510411010031,2024,0.038826
510411010032,2024,0.089659
510411010033,2024,0.133579
510411010034,2024,0.380123
510411010041,2024,0
510411010042,2024,0.044318
510411010043,2024,0.370718
510411010071,2024,4.965224
510411010072,2024,3.157522
510411010073,2024,8.501401
510411010081,2024,19.780051
510411010082,2024,15.094848
510411010091,2024,0.699925
510411010092,2024,1.50298
510411010093,2024,2.413098
510411010111,2024,20.970917
510411010112,2024,1.923191
510411010121,2024,7.935673
510411010122,2024,6.008982
510411010123,2024,9.144671
510411010131,2024,3.083762
510411010132,2024,2.991354
510411010141,2024,1.496009
510411010151,2024,9.53478
510411010152,2024,3.581639
510411010153,2024,4.474432
510754001011,2024,0.386957
510754001012,2024,0.547172
510754001021,2024,0.146337
510754001022,2024,1.036552
510754002001,2024,0
510754002002,2024,0
510754002003,2024,0.045522
510754002004,2024,0.065663
510754003001,2024,0.39879
510754004001,2024,0.554985
510754004002,2024,0.054376
510754004003,2024,0.081175
510754004004,2024,0.106427
510754005001,2024,0.07049
510754005002,2024,0.000035
510754005003,2024,0
510853201001,2024,0.049025
510853201002,2024,0.086632
510853201003,2024,0.087249
510853201004,2024,0.080076
510853202001,2024,0.187697
510853202002,2024,0.194606
510853202003,2024,0.064655
510853203001,2024,0.218811
510853203002,2024,0.067398
510853203003,2024,0.141914
510853204001,2024,0.115917
510853204002,2024,0.796751
510853204003,2024,0.540551
510853205001,2024,0.281576
510853205002,2024,0.623788
