Year,RoadBaseModCost.2022,RoadPresOpMaintCost.2022,RoadOtherCost.2022,FwyLnMiCost.2018.1e3,ArtLnMiCost.2018.1e3,HvyTrkPCE
2024,0.0258451,0.029927,0.0177039,10.344,9.217,2
2045,0.0258451,0.029927,0.0177039,10.344,9.217,2
