Geo,Year,SFDU,MFDU,GQDU
510411010093,2024,875,369,0
510411010111,2024,360,0,0
510411010112,2024,696,0,0
510411010121,2024,777,0,0
510411010122,2024,409,4,0
510411010123,2024,17,1045,7
510411010131,2024,494,0,0
510411010132,2024,853,33,0
510411010141,2024,931,10,0
510411010151,2024,1085,91,0
510411010152,2024,577,19,3
510411010153,2024,679,0,0
510754001011,2024,1019,606,23
510754001012,2024,932,0,3
510754001021,2024,601,0,0
510754001022,2024,1348,276,4
510754002001,2024,279,0,0
510754002002,2024,375,0,0
510754002003,2024,716,0,0
510754002004,2024,729,0,9
510754003001,2024,57,0,0
510754004001,2024,781,88,1
510754004002,2024,399,0,0
510754004003,2024,393,0,0
510754004004,2024,585,30,0
510754005001,2024,817,0,0
510754005002,2024,781,22,0
510754005003,2024,374,0,0
510853201001,2024,257,0,0
510853201002,2024,637,18,0
510853201003,2024,1009,7,0
510853201004,2024,707,0,0
510853202001,2024,730,0,0
510853202002,2024,701,52,13
510853202003,2024,796,0,0
510853203001,2024,588,11,0
510853203002,2024,369,0,0
510853203003,2024,735,8,6
510853204001,2024,1045,45,0
510853204002,2024,896,56,0
510853204003,2024,81,356,0
510853205001,2024,408,0,0
510853205002,2024,538,55,51
510853205003,2024,394,30,0
510853206011,2024,775,99,2
510853206012,2024,175,114,1141
510853206013,2024,86,477,6
510853206021,2024,655,172,0
510853206022,2024,647,171,0
510853207011,2024,556,29,0
510853207012,2024,1257,0,0
510853207021,2024,712,6,14
510853207022,2024,482,0,0
510853208011,2024,897,22,0
510853208031,2024,1179,337,4
510853208032,2024,562,0,0
510853208033,2024,462,0,0
510853208041,2024,602,0,5
510853208042,2024,517,110,0
510853208043,2024,560,229,0
510853208051,2024,495,169,0
510853208052,2024,710,21,0
510853209011,2024,320,0,3
510853209012,2024,808,218,0
510853209013,2024,702,304,0
510853209021,2024,436,0,0
510853209022,2024,663,0,0
510853210011,2024,164,182,3
510853210012,2024,257,0,0
510853210013,2024,811,353,0
510853210031,2024,842,218,4
510853210041,2024,440,28,0
510853210042,2024,515,39,0
510853210043,2024,837,0,8
510853211001,2024,1203,343,4
510853211002,2024,345,107,0
510853211003,2024,694,0,13
510853212011,2024,444,278,5
510853212012,2024,714,27,13
510853212013,2024,585,0,0
510853212021,2024,141,225,0
510853212022,2024,148,88,0
510853212023,2024,592,592,0
510853213001,2024,728,0,0
510853213002,2024,509,0,0
510853213003,2024,793,0,0
510853213004,2024,413,162,0
510853214011,2024,940,33,0
510853214021,2024,795,0,0
510853214022,2024,573,13,0
510853214031,2024,1116,37,0
510872001061,2024,447,31,0
510872001062,2024,612,170,22
510872001063,2024,16,285,0
510872001064,2024,211,422,0
510872001081,2024,270,33,203
510872001082,2024,699,13,0
510872001091,2024,366,17,0
510872001092,2024,304,87,0
510872001093,2024,546,134,0
510872001221,2024,443,75,0
510872001222,2024,699,72,0
510872001223,2024,403,0,0
510872001231,2024,389,29,0
510872001232,2024,0,477,0
510872001233,2024,32,588,0
