Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev
2024,0.953187025,0.032041212,0.014771763,0.953187025,0.032041212,0.014771763
2045,0.827457373,0.094374755,0.078167872,0.827457373,0.094374755,0.078167872
